title,authors,subject,publish_year,description,rating
Don't Sweat the Small Stuff...And It's All Small Stuff,Richard Carlson,japanese,1997,"*Don't Sweat the Small Stuff . . . an it's all small stuff* is a book that shows you how to keep from letting the little things in life drive you crazy.  In thoughtful and insightful language, author Richard Carlson reveals ways to calm down in the midst of your incredibly hurried, stress-filled life.  You can learn to put things in perspective by making the small daily changes he suggests, including advice such as ""Think of your problems as potential teachers""; ""Remember that when you die, your 'in' box won't be empty""; and ""Do one thing at a time.""  You should also try to live in the present moment, let others have the glory at times, and lower your tolerance to stress.  You can write down your most stubborn positions and see if you can soften them, learn to trust your intuitions, and live each day as if it might be your last.  With gentle, supportive suggestions, Dr. Carlson reveals ways to make your actions more peaceful and caring, with the added benefit of making your life more calm and stress-free. --Publisher",
日本林制史調查資料,Tokugawa Rinseishi Kenkyūjo,japanese,1970,,
Botanicum,"Katie Scott, KATIE Scott, Kew Staff Royal Botanic Gardens, Katherine Jane Willis",japanese,2016,,
Mountain That Loved a Bird,Alice McLerran,japanese,1985,"A beautiful bird brings life to a lonely, barren mountain",5.0
Reading people,"Jo-Ellan Dimitrius, Mark C. Mazzarella",japanese,1998,"Reading people will open your eyes to a wealth of clues that reveal the truth about those around you. Once you've learned to read people, your world will never be the same.You'll learn: how to tell a person's sincerity by the tone of his or her voice which three character traits are most likely to predict a person's behaviour? how to know if your date is interested in a serious relationship the message you are sending with your hairstyle how to use your intuition to determine the right nursery school, nanny or child-minder for your child how to stay objective when evaluating a potential boss - even if you need the job desperately.",
"Morning, Noon and Night",Sidney Sheldon,japanese,1995,"A power revered by presidents and kings, a fortune unsurpassed by few people on earth: all that ended for Harry Stanford the day he mysteriously — and fatally — plunged from his luxury yacht into the Mediterranean Sea. Then, back home in Boston, as the family gathers to grieve for his memory and to war over his legacy, a stunningly beautiful young woman appears. She claims to be Stanford's long-lost daughter and entitled to her share of his estate. Now, flaming with intrigue and passion through the glamorous preserves of the world's super rich, the ultimate game of wits begins, for stakes too dazzling and deadly to imagine.",4.0
古道具 中野商店,川上弘美,japanese,2005,"In the Nakano Thrift Shop, the young woman who works the register falls for her reserved co-worker and asks her employers sister for advice in attracting him and soon comes to realize that love requires acceptance of idiosyncrasies and secrets.",3.5
夏の庭,Kazumi Yumoto,japanese,1992,"Curious about death, three sixth-grade boys decide to spy on an old man waiting for him to die, but they end up becoming his friends.",5.0
William Shakespeare Much Ado about Nothing Illustrated,William Shakespeare,japanese,1901,,4.0
The case of the deadly toy,Erle Stanley Gardner,japanese,1959,"ENGAGED TO A NIGHTMARE
When Norda Allison sees her husband-to-be slap his young son, she immediately calls off the wedding. Now she is terrified. Her ex-fiancé has beat up her new boyfriend. Anonymous newspaper clippings are flooding her mailbox--articles graphically depicting what jilted men do to the women who leave them. Then Norda's life takes an even darker turn. It begins with a barking dog, a child's scream, a gunshot, and the discovery of a very dead body--and ends when Norda is arrested, charged with a brutal murder.
Now only brilliant courtroom strategist Perry Mason stands between Norda and a sentence of certain death . . .",
Death Note How to Read 13,"Tsugumi Ohba, Takeshi Obata",japanese,2008,"Features complete character biographies, detailed storyline summaries, production notes, commentaries and interviews with creators Tsugumi Ohba and Takeshi Obata, plus a chapter of never-before-translated material.",4.5
Itou Junji Kyoufu Manga Collection 16,Junji Itō,japanese,2013,"""Junji Ito meets Mary Shelley! The master of horror manga bends all his skill into bringing the anguished and solitary monster--and the fouler beast who created him--to life with the brilliantly detailed chiaroscuro he is known for.  Also included are six tales of Oshikiri--a high school student who lives in a decaying mansion connected to a haunted parallel world. Uncanny doppelgangers, unfortunately murdered friends, and a whole lot more are in store for him. Bonus: The Ito family dog! Thrill to the adventures of Non-non Ito, an adorable Maltese!""--",5.0
Vitamin C and the common cold,Linus Pauling,japanese,1970,,5.0
Galileo and the Magic Numbers,Sidney Rosen,japanese,1958,"Sixteenth century Italy produced a genius who marked the world with his studies and hypotheses about mathematical, physical and astronomical truths.His father, musician Vincenzio Galilei said, “Truth is not found behind a man’s reputation.  Truth appears only when the answers to questions are searched out by a free mind.  This is not the easy path in life but it is the most rewarding.”Galileo challenged divine law and the physics of Aristotle, and questioned everything in search of truths.  And it was on this quest for truth that he was able to establish a structure for modern science.",2.33
Gendai shakaigaku no tenkai,"Konno, Toshihiko",japanese,1976,,
The story of Miss Moppet,Beatrix Potter,japanese,1900,,
Mr. Gumpy's Motor Car,John Burningham,japanese,1973,Mr. Gumpy's human and animal friends squash into his old car and go for a drive -- until it starts to rain.,5.0
Now and After,Alexander Berkman,japanese,1929,"**Now and After: The ABC of Communist Anarchism** is an introduction to the principles of anarchism and anarchist communism written by Alexander Berkman. First published in 1929 by Vanguard Press, Now and After has been reprinted many times, often in partial or abbreviated versions, under the titles **What Is Communist Anarchism?**, **What Is Anarchism?** or **The ABC of Anarchism**.

(Source: [Wikipedia](https://en.wikipedia.org/wiki/Now_and_After))",
Summer Story,"Jill Barklem, John Moffatt",japanese,1980,"Despite some unexpected developments, the summer wedding of mice Poppy and Dusty goes off beautifully.",5.0
Hokusai,Hokusai Katsushika,japanese,1904,,
Portrait of a Killer,Patricia Cornwell,japanese,2002,"""Between August and November 1888, at least seven women were murdered in London's Whitechapel area. The gruesome nature of their deaths caused panic and fear in the East End for months, and gave rise to the sobriquet that was to become shorthand for a serial killer - Jack the Ripper."".

""For over a hundred years the murders have remained among the world's greatest unsolved crimes, and a wealth of theories have been posited which have pointed the finger at royalty, a barber, a doctor, a woman and an artist.

Using her formidable range of forensic and technical skills, Patricia Cornwell has applied the rigorous discipline of twenty-first-century police investigation to the extant material, and here presents the hard evidence that the perpetrator was the world-famous artist Walter Sickert."".

""By using techniques unknown in the late Victorian age, Patricia Cornwell has exposed Sickert as the author of the infamous Ripper letters to the Metropolitan Police. Her detailed analysis of his paintings shows how his art continually depicted his horrific mutilation of his victims, and her examination of this man's birth defects, the consequent genital surgical interventions and their effects on his upbringing presents a casebook example of how a psychopathic killer is created.""--BOOK JACKET.",4.0
